Issue,Title,State,Bucket,Native type after triage,Labels,Disposition,URL
6779,META: TTS Code of Conduct link update [draft],open,documentation,Task,Affects: Content; Affects: Documentation,keep,https://github.com/uswds/uswds/issues/6779
6717,USWDS - Bug: force-action modal breaks scroll in iOS,open,bug,Bug,Affects: Usability; Context: iOS; Needs: Confirmation; Package: Modal; Role: Dev,Named platform or environment needed,https://github.com/uswds/uswds/issues/6717
6694,USWDS - Bug: A few stories missed in recent enhancement PR,open,bug,Bug,Affects: Testing; Context: JavaScript; Storybook,Reproduced; fix remains open,https://github.com/uswds/uswds/issues/6694
6568,USWDS - Feature: Throw an error if caption element isn't defined in a sortable table,open,enhancement,Enhancement,Affects: Functionality; Context: JavaScript; Needs: Confirmation; Needs: Discussion; Package: Table; Role: Dev; Status: Voting Open 👍; Type: Feature Request,keep,https://github.com/uswds/uswds/issues/6568
6548,Phase 2: Path settings page does not include components variable in documentation,open,documentation,Bug,Affects: Documentation; Affects: Settings; Affects: Website; Help wanted; Needs: Confirmation,keep,https://github.com/uswds/uswds/issues/6548
6545,USWDS - Feature: sort_arrow_ascending and sort_arrow_descending icons,open,enhancement,Enhancement,Needs: Internal Response 🔴; Package: Icons; Package: Table; Type: Feature Request,keep,https://github.com/uswds/uswds/issues/6545
6530,USWDS - Feature: Documentation site - show all states and options for form controls,open,documentation,Enhancement,Affects: Accessibility 🟡; Affects: Documentation; Affects: Website; Comms/Content; Good first issue; Help wanted; Package: Forms; Type: Feature Request,keep,https://github.com/uswds/uswds/issues/6530
6527,USWDS - Feature: [Custom Messaging on CharacterCount Component],open,enhancement,Enhancement,Affects: Language Support; Context: JavaScript; Package: Character count; Type: Feature Request,keep,https://github.com/uswds/uswds/issues/6527
6525,USWDS - Bug: Radio hints are inside form label,open,bug,Bug,Affects: Accessibility 🟡; Affects: Markup 🟡; Context: JAWS; Context: NVDA; Needs: Confirmation; Package: Checkbox/Radio,Named platform or environment needed,https://github.com/uswds/uswds/issues/6525
6523,USWDS - Bug: Step Indicator heading very difficult to understand with VoiceOver,open,bug,Bug,Affects: Accessibility 🟡; Context: VoiceOver (VO); Needs: Confirmation; Package: Step Indicator,Named platform or environment needed,https://github.com/uswds/uswds/issues/6523
6516,USWDS - ADR: Prefer intrinsic layouts and container queries to page level media queries for responsive design,open,documentation,Task,Affects: Documentation; Context: Sass; Needs: Refinement,keep,https://github.com/uswds/uswds/issues/6516
6515,USWDS - ADR: Use CSS grid rather than flexbox for layout,open,maintenance,Task,Needs: Refinement,keep,https://github.com/uswds/uswds/issues/6515
6512,USWDS - ADR: Draft ADRs for key changes,open,maintenance,Task,Needs: Refinement,keep,https://github.com/uswds/uswds/issues/6512
6505,USWDS - Feature: Checkboxes - Small Clickable Areas - checkboxes too small.,open,enhancement,Enhancement,Affects: Accessibility 🟡; Needs: Confirmation; Needs: Refinement; Package: Checkbox/Radio; Type: Feature Request,Exact fixture needed,https://github.com/uswds/uswds/issues/6505
6501,USWDS - Feature: Include text in ARIA landmark,open,bug,Bug,Affects: Accessibility 🟡; Needs: Confirmation; Package: Banner,Named platform or environment needed,https://github.com/uswds/uswds/issues/6501
6493,USWDS - Bug: The usa-button has a hard-coded margin-right,open,enhancement,Enhancement,Affects: Display; Context: Sass; Needs: Confirmation; Package: Button,keep,https://github.com/uswds/uswds/issues/6493
6485,USWDS - Bug: Replace `aria-describedby` with `aria-labelledby` on the tooltip trigger within the Tooltip component,open,bug,Bug,Affects: Accessibility 🟡; Context: JavaScript; Needs: Discussion; Package: Button; Package: Tooltip,Reproduced; fix remains open,https://github.com/uswds/uswds/issues/6485
6474,USWDS - Bug: Visual Focus Indicator Disappears from Target Element After SkipNav Activation,open,bug,Bug,Affects: Accessibility 🟡; Context: JavaScript; Package: Skipnav,Reproduced; fix remains open,https://github.com/uswds/uswds/issues/6474
6470,USWDS - `usa-banner`: write unit tests for web component banner variant,open,maintenance,Task,Affects: Testing; Context: JavaScript; Package: Banner,keep,https://github.com/uswds/uswds/issues/6470
6465,USWDS - Range Slider Visual Refinements,open,maintenance,Task,Affects: Accessibility 🟡; Affects: Visual Design; Context: Sass; Package: Range Slider,keep,https://github.com/uswds/uswds/issues/6465
6464,"USWDS - Bug: ""Here's how you know"" link reported as too small for accessibility concerns",open,bug,Bug,Affects: Accessibility 🟡; Affects: Usability; Package: Banner,Reproduced; fix remains open,https://github.com/uswds/uswds/issues/6464
6459,USWDS - Bug: Screen reader linear navigation focus is not visible on checkbox controls,open,bug,Bug,Affects: Accessibility 🟡; Context: Chrome; Context: NVDA; Package: Checkbox/Radio,Named platform or environment needed,https://github.com/uswds/uswds/issues/6459
6451,USWDS - Feature: Pagination accessibility tests,open,documentation,Enhancement,Affects: Accessibility 🟡; Affects: Documentation; Affects: Guidance; Affects: Testing; Package: Pagination; Type: Feature Request,keep,https://github.com/uswds/uswds/issues/6451
6449,USWDS - Bug: Clicking Date Picker calendar button to close calendar doesn't work,open,bug,Bug,Affects: Accessibility 🟡; Context: JavaScript; Context: iOS; Package: Date Picker; Package: Date Range Picker,Named platform or environment needed,https://github.com/uswds/uswds/issues/6449
6446,Remove alumni from automations,open,maintenance,Task,Affects: Automation; Affects: Security; Affects: Settings; Is: Internal; Needs: Internal Response 🔴,keep,https://github.com/uswds/uswds/issues/6446
6445,Add changelog items for recent updates,open,documentation,Task,Affects: Content; Affects: Documentation,keep,https://github.com/uswds/uswds/issues/6445
6428,USWDS - Bug: Input mask hint text needs clarity,open,documentation,Bug,Affects: Accessibility 🟡; Affects: Content; Affects: Documentation; Affects: Guidance; Package: Input mask; VPAT,keep,https://github.com/uswds/uswds/issues/6428
6426,USWDS - Feature: Dynamic tooltip changes,open,bug,Bug,Affects: Accessibility 🟡; Affects: Display; Context: JavaScript; Package: Tooltip,Reproduced; fix remains open,https://github.com/uswds/uswds/issues/6426
6424,USWDS - Bug: Combo Box clear input button focus outline does not match assigned value,open,bug,Bug,Affects: Accessibility 🟡; Affects: Visual Design; Context: Sass; Package: Combo Box,Fix proposed: [#6944](https://github.com/uswds/uswds/pull/6944),https://github.com/uswds/uswds/issues/6424
6415,USWDS - [Enhancement] Unit Tests: Update build.spec.js to build entire dist package,open,maintenance,Task,Affects: Build; Affects: Testing; Context: JavaScript,keep,https://github.com/uswds/uswds/issues/6415
6414,USWDS - Sass: Distributed sass does not appropriately point to `packages` when downloaded directly,open,bug,Bug,Affects: Build; Affects: Compiling; Context: Sass,Reproduced; fix remains open,https://github.com/uswds/uswds/issues/6414
6412,USWDS - Bug: custom breakpoints override theme breakpoints unintentionally,open,bug,Bug,Affects: Settings; Context: Sass; Package: Layout Grid; Package: Utilities,Reproduced; fix remains open,https://github.com/uswds/uswds/issues/6412
6410,Landscape Analysis: Modal Contrast,open,research,Task,A11Y Audit Findings; A11y Audit; Affects: Accessibility 🟡; Package: Modal; Type: Research,keep,https://github.com/uswds/uswds/issues/6410
6407,USWDS - Feature: Create prototype for using dialog element in USWDS alert,open,research,Task,Affects: Accessibility 🟡; Package: Alert; Type: Research,keep,https://github.com/uswds/uswds/issues/6407
6401,Review/Rework section of Maturity Model page content with PDF,open,documentation,Task,Affects: Accessibility 🟡; Affects: Content; Affects: Documentation; Affects: Website,keep,https://github.com/uswds/uswds/issues/6401
6396,Draft language for new pages,open,documentation,Task,Affects: Content; Affects: Documentation; Comms/Content; Needs: Refinement,keep,https://github.com/uswds/uswds/issues/6396
6395,Create language on new products for priority pages,open,documentation,Task,Affects: Content; Affects: Documentation; Comms/Content; Needs: Refinement,keep,https://github.com/uswds/uswds/issues/6395
6386,USWDS - Bug: Character Count component does not clean up its status messages when `.off()` is called,open,bug,Bug,Context: JavaScript; Needs: Confirmation; Package: Character count,Partial reproduction,https://github.com/uswds/uswds/issues/6386
6381,USWDS - Feature: Raise precedence of indeterminate checkbox styling when checked=true,open,bug,Bug,Affects: Display; Context: Sass; Package: Checkbox/Radio,Fix proposed: [#6945](https://github.com/uswds/uswds/pull/6945),https://github.com/uswds/uswds/issues/6381
6374,Button - second a11y audit,open,research,Task,A11y Audit; Affects: Accessibility 🟡; Affects: Testing; Package: Button; Q2 A11y; Type: Research,keep,https://github.com/uswds/uswds/issues/6374
6373,USWDS - Feature: Correct the U.S. Flag Icon to Meet Official Standards,open,enhancement,Enhancement,Affects: Visual Design; Package: Banner; Package: Icons; Q2 2025; Type: Feature Request,keep,https://github.com/uswds/uswds/issues/6373
6372,USWDS - Bug: usa-tooltip class breaks radio buttons,open,bug,Bug,Affects: Display; Affects: Usability; Context: JavaScript; Package: Checkbox/Radio; Package: Tooltip,Reproduced; fix remains open,https://github.com/uswds/uswds/issues/6372
6366,"Accessibility audits of ""element"" components",open,research,Task,A11y Audit; Affects: Accessibility 🟡; Affects: Testing; Needs: Refinement; Q2 A11y; Type: Research,keep,https://github.com/uswds/uswds/issues/6366
6365,"Accessibility audits of ""atom"" components",open,research,Task,A11y Audit; Affects: Accessibility 🟡; Needs: Refinement; Q2 A11y; Type: Research,keep,https://github.com/uswds/uswds/issues/6365
6364,Accessibility audits of Core/FWS components,open,research,Task,A11y Audit; Affects: Accessibility 🟡; Needs: Refinement; Q2 A11y; Type: Research,keep,https://github.com/uswds/uswds/issues/6364
6363,📍 Accessibility Checklist: Second Round of Audits,open,research,Task,A11y Audit; Affects: Accessibility 🟡; Affects: Testing; Needs: Refinement; Q2 A11y; Type: Research,keep,https://github.com/uswds/uswds/issues/6363
6347,Identify KPIs for plan,closed,maintenance,Task,Comms/Content,Closed: superseded,https://github.com/uswds/uswds/issues/6347
6346,Brand templates,closed,documentation,Task,Affects: Content; Affects: Documentation; Comms/Content; Needs: Refinement,Closed: superseded,https://github.com/uswds/uswds/issues/6346
6345,Brand guidelines,closed,maintenance,Task,Comms/Content; Needs: Refinement,Closed: superseded,https://github.com/uswds/uswds/issues/6345
6344,Wiki strategy,closed,documentation,Task,Affects: Content; Affects: Documentation; Comms/Content,Closed: superseded,https://github.com/uswds/uswds/issues/6344
6343,"COPs (content strategy, digital.gov)",closed,maintenance,Task,Comms/Content; Needs: Refinement,Closed: superseded,https://github.com/uswds/uswds/issues/6343
6342,Slack calendar,closed,maintenance,Task,Comms/Content; Needs: Refinement,Closed: superseded,https://github.com/uswds/uswds/issues/6342
6341,Newsletter calendar & strategy,closed,maintenance,Task,Affects: Content; Comms/Content,Closed: superseded,https://github.com/uswds/uswds/issues/6341
6340,Github calendar & strategy,closed,maintenance,Task,Comms/Content; Needs: Refinement,Closed: superseded,https://github.com/uswds/uswds/issues/6340
6339,Outreach channel calendar & strategy,closed,maintenance,Task,Comms/Content; Needs: Refinement,Closed: superseded,https://github.com/uswds/uswds/issues/6339
6337,Create QA process for site content,closed,documentation,Task,Affects: Content; Affects: Documentation; Affects: Website; Comms/Content,Closed: superseded,https://github.com/uswds/uswds/issues/6337
6336,"Create ""What’s New” site governance",open,documentation,Task,Affects: Content; Affects: Documentation; Affects: Website; Comms/Content,keep,https://github.com/uswds/uswds/issues/6336
6334,Product Launch: Create and refine tactics and timeline,closed,maintenance,Task,Comms/Content; Needs: Refinement,Closed: superseded,https://github.com/uswds/uswds/issues/6334
6333,Product Launch: Create and refine messaging,closed,documentation,Task,Affects: Content; Affects: Documentation; Comms/Content,Closed: superseded,https://github.com/uswds/uswds/issues/6333
6329,USWDS - Bug: Event handler unable to set date field value,open,bug,Bug,Context: JavaScript; Package: Date Picker; Potential duplicate,Reproduced; fix remains open,https://github.com/uswds/uswds/issues/6329
6327,Add Jan '25 Q&A to discussions,open,documentation,Task,Affects: Content; Affects: Documentation; Comms/Content,keep,https://github.com/uswds/uswds/issues/6327
6317,USWDS - Feature: Character count should accept a custom error message,open,enhancement,Enhancement,Affects: Functionality; Affects: Language Support; Context: JavaScript; Package: Character count; Type: Feature Request,keep,https://github.com/uswds/uswds/issues/6317
6315,USWDS - Bug: Time picker ignores hint text,open,bug,Bug,Affects: Accessibility 🟡; Complete before freeze; Context: JavaScript; Package: Combo Box; Package: Time Picker; Severity: 2,Reproduced; fix remains open,https://github.com/uswds/uswds/issues/6315
6314,USWDS - Input mask: Improve copy/paste functionality,open,bug,Bug,Affects: Accessibility 🟡; Affects: Functionality; Context: JavaScript; Package: Input mask,Partial reproduction,https://github.com/uswds/uswds/issues/6314
6310,USWDS: Utils improvements after removing `resolve-id-refs`,open,enhancement,Enhancement,Affects: Testing; Context: JavaScript,keep,https://github.com/uswds/uswds/issues/6310
6301,"USWDS - Bug: Remove ""navigation"" text from aria labels for navigation roles",open,bug,Bug,Affects: Accessibility 🟡; Affects: Content; Affects: Markup 🟡; Package: Footer; Package: Header Nav; Package: Sidenav; Role: A11Y,Fix proposed: [#6946](https://github.com/uswds/uswds/pull/6946),https://github.com/uswds/uswds/issues/6301
6300,"Look into how well aria-haspopup=""dialog"" works with modals",open,research,Task,Affects: Accessibility 🟡; Context: JavaScript; Package: Modal; Type: Research,keep,https://github.com/uswds/uswds/issues/6300
6294,USWDS - Unit Tests: Build and Include unit tests are not being ran.,open,bug,Bug,Affects: Build; Affects: Testing; Complete before freeze; Context: JavaScript; Context: Sass; Type: Spike,Reproduced; fix remains open,https://github.com/uswds/uswds/issues/6294
6277,USWDS - Define empty placeholder link references,open,documentation,Task,Affects: Documentation; Package: Authentication Templates; Package: Documentation template,keep,https://github.com/uswds/uswds/issues/6277
6275,Create and add December MC Q&A to discussions,open,documentation,Task,Affects: Content; Affects: Documentation; Comms/Content,keep,https://github.com/uswds/uswds/issues/6275
6261,The USWDS Should Apply as a Digital Public Good,open,enhancement,Enhancement,Help wanted; Needs: Author Response 🔴,keep,https://github.com/uswds/uswds/issues/6261
6260,USWDS - Bug: skipnav text overlays content at high zoom levels,open,bug,Bug,Affects: Accessibility 🟡; Affects: Display; Context: Chrome; Context: Sass; Package: Skipnav,Reproduced in simulation,https://github.com/uswds/uswds/issues/6260
6259,USWDS - Feature: Add dash-underlined text with tooltip to display definitions,open,enhancement,Enhancement,Affects: Plain Language; Needs: Refinement; Package: Tooltip; Type: Feature Request,keep,https://github.com/uswds/uswds/issues/6259
6258,USWDS - Bug: dark background link color overrides link button color,open,bug,Bug,Affects: Accessibility 🟡; Affects: Visual Design; Context: Sass; Package: Button; Package: Link,Reproduced; fix remains open,https://github.com/uswds/uswds/issues/6258
6247,Creating common criteria sheet in CC checklist,open,documentation,Task,A11Y Audit Findings; Added during Sprint; Affects: Accessibility 🟡; Affects: Documentation; Affects: Testing,keep,https://github.com/uswds/uswds/issues/6247
6241,USWDS - Date picker: Improve hint text,open,documentation,Task,Affects: Accessibility 🟡; Affects: Content; Affects: Documentation; Affects: Guidance; Needs: Research; Package: Date Picker,keep,https://github.com/uswds/uswds/issues/6241
6240,USWDS - Form inputs: Add error stories to all relevant form components,open,documentation,Task,Affects: Documentation; Affects: Testing; Package: Forms; Storybook,keep,https://github.com/uswds/uswds/issues/6240
6238,USWDS - Bug: Mobile link color in Big footer on Safari,open,bug,Bug,Affects: Visual Design; Context: Sass; Needs: Confirmation; Package: Footer,Named platform or environment needed,https://github.com/uswds/uswds/issues/6238
6231,USWDS - Feature: Tooltip content should appear outside of parent container,open,enhancement,Enhancement,Affects: Display; Package: Tooltip; Type: Feature Request,Reproduced; fix remains open,https://github.com/uswds/uswds/issues/6231
6206,USWDS - Feature: File input support for translated strings,open,enhancement,Enhancement,Affects: Language Support; Context: JavaScript; Package: File Input; Type: Feature Request,keep,https://github.com/uswds/uswds/issues/6206
6193,USWDS - Enhancement: Combo Box list HTML is rebuilt every time the list is displayed,open,research,Task,Affects: Performance; Context: JavaScript; Needs: Refinement; Package: Combo Box; Type: Research; Type: Spike,keep,https://github.com/uswds/uswds/issues/6193
6184,USWDS - Icons: Run SVGO before building sprite,open,enhancement,Enhancement,Affects: Build; Affects: Performance; Context: JavaScript; Package: Icons,keep,https://github.com/uswds/uswds/issues/6184
6178,USWDS - Component lifecycle: Be explicit about role of community in proposal discussion process,open,documentation,Task,Affects: Documentation; Affects: Guidance; Comms/Content; Needs: Discussion; Needs: Internal Response 🔴; P1: high priority,keep,https://github.com/uswds/uswds/issues/6178
6176,USWDS - Bug: `$nav-link-color` hard-coded to `base-dark`,open,bug,Bug,Affects: Settings; Context: Sass; Package: Header,Reproduced; fix remains open,https://github.com/uswds/uswds/issues/6176
6163,USWDS - Enhancement: Run SVGO on USWDS icons,open,maintenance,Task,Affects: Automation; Affects: Build; Affects: Performance; Package: Icons,keep,https://github.com/uswds/uswds/issues/6163
6155,Deprecate Validation component,open,maintenance,Task,Affects: Documentation; Deprecation; Package: Validation,keep,https://github.com/uswds/uswds/issues/6155
6154,"Legibility is difficult for light text on dark background for multiple language selector, particularly for Arabic",open,research,Task,Affects: Language Support; Affects: Usability; Needs: Research; Package: Language selector; Type: Research; Usability Testing,keep,https://github.com/uswds/uswds/issues/6154
6151,USWDS - UX: Verbose Time Picker instructions for clearing content,open,enhancement,Enhancement,Affects: Accessibility 🟡; Affects: Content; Affects: Usability; Package: Time Picker,keep,https://github.com/uswds/uswds/issues/6151
6150,Verbose Time Picker instructions: conduct usability research,open,research,Task,Needs: Research; Role: Research; Type: Research,keep,https://github.com/uswds/uswds/issues/6150
6142,Software development lifecycle: Prototype a lifecycle,open,maintenance,Task,Needs: Refinement,keep,https://github.com/uswds/uswds/issues/6142
6140,Component Lifecycle: Tabs component,open,research,Task,Needs: Refinement; Type: Research,keep,https://github.com/uswds/uswds/issues/6140
6114,USWDS - Feature: Screen reader users lack context for breadcrumb links ,open,research,Task,Affects: Accessibility 🟡; Needs: Research; Package: Breadcrumb; Q2 research; Type: Research; Type: Spike,keep,https://github.com/uswds/uswds/issues/6114
6110,USWDS - Bug: Date Picker appears to remove Angular event listeners,open,bug,Bug,Affects: Functionality; Context: JavaScript; Package: Combo Box; Package: Date Picker,Partial reproduction,https://github.com/uswds/uswds/issues/6110
6104,USWDS - Feature: Prepare repo for the next major version of Sass,open,maintenance,Task,Affects: Compiling; Affects: Dependencies; Context: JavaScript; Context: Sass; Role: Dev,keep,https://github.com/uswds/uswds/issues/6104
6091,USWDS - Bug: Unstyled buttons do not appear to meet minimum touch target requirements,open,bug,Bug,Affects: Accessibility 🟡; Affects: Usability; Package: Button,Reproduced; fix remains open,https://github.com/uswds/uswds/issues/6091
6089,Transition data visualization into a pattern,open,documentation,Enhancement,Affects: Content; Affects: Documentation; Affects: Guidance; Affects: Website; Package: Data Visualization,keep,https://github.com/uswds/uswds/issues/6089
6080,USWDS - Bug: Radio buttons do not display HTML form validation,open,bug,Bug,Affects: Accessibility 🟡; Context: Sass; Package: Checkbox/Radio; Package: Forms; Severity: 2,Reproduced; fix remains open,https://github.com/uswds/uswds/issues/6080
6078,USWDS - Feature: Create interactive tag option,open,enhancement,Enhancement,Affects: Accessibility 🟡; Package: Tag; Status: Voting Open 👍; Type: Feature Request,keep,https://github.com/uswds/uswds/issues/6078
6075,USWDS - Bug: Language selector may be confusing to some users,open,bug,Bug,A11Y Audit Findings; A11Y Audit: Passes with exceptions; A11y Audit; Affects: Accessibility 🟡; Affects: Usability; Needs: Confirmation; Package: Language selector,Partial reproduction,https://github.com/uswds/uswds/issues/6075
6072,USWDS - Bug: Date Picker calendar visual issues on iOS,open,bug,Bug,Affects: Display; Context: iOS; Needs: Confirmation; Package: Date Picker,Named platform or environment needed,https://github.com/uswds/uswds/issues/6072
6069,USWDS - Bug: Date picker year button overlapping with days below,open,bug,Bug,Affects: Accessibility 🟡; Affects: Display; Complete before freeze; Context: Sass; Package: Date Picker; Q2 2025,Reproduced; fix remains open,https://github.com/uswds/uswds/issues/6069
6068,USWDS - Bug: Checkboxes and Radio Controls do not support Voice Control,open,bug,Bug,Affects: Accessibility 🟡; Complete before freeze; Context: Sass; From: VA; Package: Checkbox/Radio,Named platform or environment needed,https://github.com/uswds/uswds/issues/6068
